radius,value,metric
340.5151618,0.642382005,Schwarzschild
497.3563154,0.773223002,Schwarzschild
396.673379,0.704135535,Schwarzschild
489.9197032,0.769265778,Schwarzschild
452.1428977,0.746767679,Schwarzschild
359.6441984,0.666254324,Schwarzschild
442.8290323,0.740512274,Schwarzschild
524.38631,0.786512422,Schwarzschild
522.1746844,0.785484825,Schwarzschild
450.9871907,0.746008327,Schwarzschild
592.2934782,0.813836322,Schwarzschild
515.277423,0.78221453,Schwarzschild
370.3108956,0.678169058,Schwarzschild
435.9626977,0.735693655,Schwarzschild
410.1612902,0.715812087,Schwarzschild
505.1894324,0.777244428,Schwarzschild
328.2752918,0.625104187,Schwarzschild
300.6763862,0.578647589,Schwarzschild
513.3653003,0.781289877,Schwarzschild
406.3517199,0.712611777,Schwarzschild
589.0353593,0.812688015,Schwarzschild
471.8445616,0.759033332,Schwarzschild
439.1260455,0.737936246,Schwarzschild
388.3753793,0.696444038,Schwarzschild
589.6954125,0.812921804,Schwarzschild
540.6797604,0.793785406,Schwarzschild
413.6182394,0.718653136,Schwarzschild
586.4914611,0.811781416,Schwarzschild
348.9922302,0.653392179,Schwarzschild
390.6537848,0.69859697,Schwarzschild
568.8828155,0.80525384,Schwarzschild
395.8773561,0.703415261,Schwarzschild
562.1267663,0.80262592,Schwarzschild
571.0696514,0.80608934,Schwarzschild
302.109834,0.581368309,Schwarzschild
598.8626185,0.816108809,Schwarzschild
363.323862,0.670467699,Schwarzschild
483.481261,0.765724168,Schwarzschild
497.8311789,0.773470998,Schwarzschild
392.7937463,0.700590411,Schwarzschild
306.8626661,0.590120872,Schwarzschild
447.3638303,0.743597061,Schwarzschild
414.2744951,0.719185863,Schwarzschild
506.478207,0.777892201,Schwarzschild
505.5269394,0.777414439,Schwarzschild
549.4936137,0.797513967,Schwarzschild
599.6428813,0.816375005,Schwarzschild
544.1658533,0.795276678,Schwarzschild
550.6549721,0.797995088,Schwarzschild
554.4521696,0.799552114,Schwarzschild
456.6337286,0.749674733,Schwarzschild
478.6560643,0.762996361,Schwarzschild
343.8668389,0.646822625,Schwarzschild
457.7958772,0.750415931,Schwarzschild
556.2742919,0.800290659,Schwarzschild
466.7108534,0.755955784,Schwarzschild
490.8450444,0.76976583,Schwarzschild
406.8851065,0.713064338,Schwarzschild
502.114798,0.775683384,Schwarzschild
561.9766097,0.802566696,Schwarzschild
591.7650459,0.813651048,Schwarzschild
439.1832918,0.73797647,Schwarzschild
362.0243181,0.668992469,Schwarzschild
413.4540006,0.718519485,Schwarzschild
532.3427814,0.790127978,Schwarzschild
378.7951615,0.687029949,Schwarzschild
414.4668863,0.719341646,Schwarzschild
433.5220742,0.733936289,Schwarzschild
590.103756,0.813066142,Schwarzschild
380.8383084,0.689088345,Schwarzschild
443.6304859,0.74106299,Schwarzschild
365.232086,0.672609088,Schwarzschild
540.0756178,0.793524723,Schwarzschild
444.9477431,0.741962946,Schwarzschild
390.2015191,0.698172137,Schwarzschild
412.2901678,0.717568641,Schwarzschild
326.5731379,0.62255904,Schwarzschild
372.4730004,0.680476545,Schwarzschild
567.9085743,0.80487927,Schwarzschild
553.4066672,0.799125843,Schwarzschild
538.1035914,0.792669133,Schwarzschild
486.8530239,0.767592602,Schwarzschild
560.7582286,0.802084817,Schwarzschild
424.513421,0.72723612,Schwarzschild
548.6128588,0.797147539,Schwarzschild
382.7214428,0.690960722,Schwarzschild
359.2234045,0.665765277,Schwarzschild
573.495619,0.807007747,Schwarzschild
354.8271232,0.660564328,Schwarzschild
512.9105922,0.781068815,Schwarzschild
561.4364445,0.80235335,Schwarzschild
416.4009664,0.720897855,Schwarzschild
321.8673274,0.615325901,Schwarzschild
305.8954657,0.588372224,Schwarzschild
583.6765876,0.810767838,Schwarzschild
396.8359071,0.704282151,Schwarzschild
311.4064086,0.598124117,Schwarzschild
437.3906878,0.736710862,Schwarzschild
526.9887109,0.787708848,Schwarzschild
398.5025682,0.705777002,Schwarzschild
474.7553493,0.74031019,Kerr
318.5890657,0.616949593,Kerr
551.7047984,0.798300069,Kerr
